Review,Sentiment
tolong dong dibantu masa setiap mau upload foto gabisa terus. kesel,negatif
"bagus sih, tapi pas konsul 30 menit itu menurutku kurang apalagi buat ke psikolog, yang belum tentu responya cepat, jadi waktunya habis duluan sebelum chatnya selesai",negatif
sering bermasalah pas pembayaran divirtual account sebelum update baik2 saja setelah update malah sering gk bs virtual accountnya,negatif
"app ini sangat membantu, tapi kalau ada kendala, ga ada customer service chat. harus email ataupun telepon. saat keadaan sedang sakit kita mau complain dokter dan aplikasi langsung dengan fitur chat lebih baik daripada harus telepon",negatif
"Driver pengantaran obat tidak proffesional. Tidak menggunakan sepatu jadi tidak mau masuk gedung. memilih membatalkan sepihak dari kurirnya. waktu saya terbuang. sudah cukup. ini terakhir kali saya pakai aplikasi halo doc. kurir tersebut dari medex. Sudah dikirim ulang oleh go send dan memuaskan untuk go sendnya. Jangan pakai medex lagi, gunakan go send saja 100%.",negatif
"Pengalaman konsultasinya cukup baik, tetapi saya mengalami kendala pada fitur chat. Pesan yang saya kirim tidak terkirim dan hanya menampilkan ikon jam dalam waktu yang cukup lama, padahal koneksi internet saya saat itu dalam kondisi baik. Menurut saya hal ini cukup mengganggu karena konsultasi bersifat berbayar dan memiliki batas waktu. Kalau saya tidak mencoba mengirim ulang pesan secara manual, bisa saja waktu konsultasi terbuang karena dokter tidak menerima pesan yang ingin disampaikan",negatif
"agak susah connect, padahal jaringan lancar",negatif
kenapaa aku ga bisa masuk ya disuruh isi nomer telpon udaj diklik kirim kode lewat wa tapi malah ga jalan²,negatif
ketika mau bayar balik lagi ke menu pencarian👎,negatif
"lacak pengantan muter2 mulu, chat cs sama muter2 terus ga bisa dibuka",negatif
"bgus apk nya. tapi mau tanya driver driver yang dulu di kemanain ya . bagusan dulu pengirimanya . driver nya sopan semua , mau brangkat maupun sampai selalu dikasih info sama drivernya . sekarang !!!",positif
"aplikasinya kenapa? urgent mau beli obat... malah ""perbaharui halaman"" trus",negatif
terlalu banyak pembaruan,negatif
"tolong halo doc lain kali kalo milih apotik yg dekat2 rumah, kan ada apotek k24, kimia farma dll.. jangan jauh2 kasian drivernya",negatif
ada bug penentuan lokasi yang gak akurat,negatif
waktu konsultasi dengan dokter hewannya terlalu sebentar hanya 30 menit. untuk foto ini itu butuh waktu. belum selesai eh sdh berakhir otomatis..,negatif
"Kenapa sih resepnya ngk bisa di unduh?... kenapa kesannya seperti maksa nebus di apk, tapi jatoh nya mahal di ongkir, pengiriman ngk dari satu apotik. memberatkan, apalagi kalau obat yg di tebus ngk mudah...jadi tambah mahal karena ongkir dll",negatif
"mau ngeluh aja, udah pake pengiriman Instan nyari driver nya nunggu 1jam, pengiriman nya 1 jam lebih jadi bisa sampe 2jam malah 3 jam. oke gapapa pengiriman nya tapi nyari driver nya jangan lama banget dong.",negatif
"pelayanan ok, pesen obat tp pengantarannya lama 1 jam dan cancel.. orang butuh obat dikasih nya lama.. klo ga bisa kerja sama sama pihak online mending ga usah dibuat sekalian!!",negatif
metode pembayaran sangat kurang,negatif
sangat membantu,positif
ga ada diskon nya... payah,positif
lumayan,positif
saya dapat resep yg bagus untuk kulit tapi sulit sekali order ulang. slowrespon,negatif
"Untuk dokter cukup membantu, tapi untuk pelayan halodoc kurang. Saya sudah laporan driver salah alamat sudah menunggu 3hari belum ada solusi, padahal saya butuh sekali obat mau beli lagi tapi serasa buang uang. Tolong tingkatkan pelayan saat laporan.",negatif
"Aplikasi ini sangat membantu terlebih ingin konsul ke dokter tetapi dengan harga merakyat. Hanya saja pemesanan paket haloskin ini titik google mapnya kurang akurat. jdi sya terpaksa ngasih titik ke rmh org lain yg satu jalan dgn rumah saya. jujur Takut banget paketnya tb2 dibuka org lain. pdhl yg mesan saya, bukan dia. tolong halo doc perbaiki ya titiknya syg banget bayar mahal2 haloskin masak org lain yg make 😭",positif
"kualitas chat dgn dokter tidak bisa maksimal krn nge-lag parah, harus keluar dr chat trus kembali lagi agar ter-refresh.",negatif
chat online dengan dokter tidak ada yang gratis semua bayar,negatif
dokternya oke oke tapi aplikasinya jadi berat ya tambah lemot,negatif
